,Unnamed: 0,model_name_source,model_name_target,match_type,mel_id,make_target,modality_target,confirmed,confidence
0,0,2130 PATIENT ALARM TRANSMITTER UNIT,,no_match,,AliMed,,False,
1,1,2131 PATIENT ALARM TRANSMITTER UNIT,,no_match,,AliMed,,False,
2,2,QUALCARE,,no_match,,AliMed,,False,
0,0,HEMOPOINT H2,HemoPoint H2,exact,759839.0,Alere,General Laboratory,True,
1,1,Afinion,Afinion AS100,llm,769481.0,Alere,General Laboratory,False,0.8
2,2,HenoPoint H2,HemoPoint H2,llm,759839.0,Alere,General Laboratory,False,0.9
3,3,Cholestech,,no_match,,Alere,,False,0.0
4,4,Cholestech LDX,,no_match,,Alere,,False,0.0
5,5,CHOLESTECH LDX,,no_match,,Alere,,False,0.0
6,6,TRIAGE METER PRO,,no_match,,Alere,,False,0.0
7,7,Alere i,,no_match,,Alere,,False,0.0
0,0,31603,31603,exact,797166.0,Burton,Surgery,True,
1,1,31501,31501,exact,752887.0,Burton,Surgery,True,
2,2,31602,31602,exact,752888.0,Burton,Surgery,True,
3,3,COOLSPOT II,Coolspot II,exact,792858.0,Burton,Patient Care and Exam,True,
4,4,OUTPATIENT II,Outpatient II,exact,799801.0,Burton,Patient Care and Exam,True,
5,5,CAVITRON,Cavitron,exact,768489.0,Burton,Surgery,True,
6,6,UV503,UV503,exact,789379.0,Burton,General Biomedical,True,
7,7,UV502,UV502,exact,788681.0,Burton,General Biomedical,True,
8,8,CoolSpot II,Coolspot II,exact,792858.0,Burton,Patient Care and Exam,True,
9,9,316020,316020,exact,792881.0,Burton,General Biomedical,True,
10,10,Gleamer,Gleamer,exact,790863.0,Burton,Patient Care and Exam,True,
11,11,316030,316030,exact,762356.0,Burton,Surgery,True,
12,12,11201,Burton 11201,llm,793082.0,Burton,General Biomedical,False,1.0
13,13,"UV503 LIGHT, EXAM",UV503,llm,789379.0,Burton,General Biomedical,False,0.9
14,14,"UV502 LIGHT, EXAM",UV502,llm,788681.0,Burton,General Biomedical,False,0.9
15,15,COOL SPOT,Cool Spot II,llm,792857.0,Burton,Patient Care and Exam,False,0.8
16,16,Outpatient IIFastRac,Outpatient II,llm,799801.0,Burton,Patient Care and Exam,False,0.7
17,17,Cool Spot,Cool Spot II,llm,792857.0,Burton,Patient Care and Exam,False,0.8
